2012,72,38,Oregon,0.6324,0.6434,0.5858,3054664,0.0692,14014,0,0,14014,,2829348,1789270,1820507,1037291,738475,0.4159

2012,14,39,Pennsylvania,0.5935,0.0000,0.5712,10052600,0.0325,51264,0,0,51264,,9674379,5742040,,3276363,2655885,0.4477

2012,5,40,Rhode Island,0.5802,0.0000,0.5339,835473,0.0758,3357,0,0,3357,,768785,446049,,296571,165391,0.3580

2012,48,41,South Carolina,0.5659,0.5709,0.5376,3653526,0.0369,23578,21144,6412,47928,,3470908,1964118,1981516,862449,1034896,0.5454

2012,37,42,South Dakota,0.5942,0.6014,0.5770,630553,0.0212,3434,0,2843,4856,,612310,363815,368270,170924,203054,0.5430

2012,54,43,Tennessee,0.5218,0.0000,0.4941,4976202,0.0359,27451,52178,12157,85708,,4711782,2458577,,1087437,1479178,0.5763

2012,49,44,Texas,0.4965,0.0000,0.4171,19167091,0.1353,173649,247136,104763,473167,,16100196,7993851,,3528633,4479328,0.5594

2012,67,45,Utah,0.5543,0.5604,0.5137,1980790,0.0698,6807,0,0,6807,,1835666,1017440,1028786,327670,596030,0.6453

2012,6,46,Vermont,0.6036,0.6086,0.5930,504732,0.0176,0,0,0,0,,495866,299290,301793,219262,98974,0.3110

2012,40,47,Virginia,0.6636,0.6694,0.6080,6339741,0.0687,37410,56654,2624,95376,,5808768,3854489,3888186,1959532,1725005,0.4682

2012,73,48,Washington,0.6407,0.6505,0.5828,5363370,0.0836,18235,15452,6956,37165,,4877969,3125516,3172939,1750848,1229216,0.4125

2012,56,49,West Virginia,0.4633,0.0000,0.4548,1474086,0.0086,6681,6650,1796,14229,,1447153,670438,,303857,397466,0.5667

2012,25,50,Wisconsin,0.7254,0.0000,0.6939,4426248,0.0310,22724,22602,19572,55112,,4233992,3071434,,1677211,1262393,0.4294

2012,68,51,Wyoming,0.5891,0.5930,0.5682,438317,0.0225,2112,3231,682,5684,,422784,249061,250701,82868,164958,0.6656

2010,0,0,United States,0.4098,0.4173,0.3775,236022989,0.0862,1608162,1321051,629644,3244035,4972217,217411031,89099476,90732693,,,

2010,41,1,Alabama,0.4308,,0.4081,3661784,0.0291,31764,50622,9006,86889,74079,3468201,1494273,,,,

2010,81,2,Alaska,0.5214,0.5266,0.4845,528744,0.0451,5597,6959,2089,13601,60686,491311,256192,258746,,,

2010,61,3,Arizona,0.4096,0.4150,0.3594,4807398,0.1024,40130,52316,7993,96443,90036,4218550,1727791,1750840,,,

